X,y
12.02.2019,1
13.02.2019,0
14.02.2019,1
15.02.2019,0
16.02.2019,0
17.02.2019,2
18.02.2019,3
19.02.2019,0
20.02.2019,0
21.02.2019,0
22.02.2019,1
23.02.2019,1
24.02.2019,4
25.02.2019,2
26.02.2019,1
27.02.2019,1
28.02.2019,0
01.03.2019,2
02.03.2019,1
03.03.2019,0
04.03.2019,1
05.03.2019,1
06.03.2019,1
07.03.2019,1
08.03.2019,1
09.03.2019,1
10.03.2019,0
11.03.2019,1
12.03.2019,0
13.03.2019,0
14.03.2019,1
15.03.2019,0
16.03.2019,0
17.03.2019,0
18.03.2019,0
19.03.2019,0
20.03.2019,0
21.03.2019,0
22.03.2019,0
23.03.2019,0
24.03.2019,0
25.03.2019,0
26.03.2019,0
27.03.2019,1
28.03.2019,1
29.03.2019,1
30.03.2019,0
31.03.2019,0
01.04.2019,0
02.04.2019,0
03.04.2019,0
04.04.2019,0
05.04.2019,0
06.04.2019,0
07.04.2019,0
08.04.2019,0
09.04.2019,0
10.04.2019,0
11.04.2019,0
12.04.2019,0
13.04.2019,0
14.04.2019,0
15.04.2019,0
16.04.2019,0
17.04.2019,0
18.04.2019,0
19.04.2019,0
20.04.2019,0
21.04.2019,0
22.04.2019,0
23.04.2019,0
24.04.2019,0
25.04.2019,0
26.04.2019,0
27.04.2019,0
28.04.2019,0
29.04.2019,0
30.04.2019,0
01.05.2019,1
02.05.2019,1
03.05.2019,1
04.05.2019,0
05.05.2019,0
06.05.2019,1
07.05.2019,2
08.05.2019,1
09.05.2019,0
10.05.2019,0
11.05.2019,0
12.05.2019,0
13.05.2019,2
14.05.2019,0
15.05.2019,0
16.05.2019,0
17.05.2019,0
18.05.2019,0
19.05.2019,0
20.05.2019,1
21.05.2019,0
22.05.2019,0
23.05.2019,0
24.05.2019,0
25.05.2019,0
26.05.2019,0
27.05.2019,0
28.05.2019,0
29.05.2019,0
30.05.2019,0
31.05.2019,0
01.06.2019,0
02.06.2019,0
03.06.2019,0
04.06.2019,0
05.06.2019,0
06.06.2019,0
07.06.2019,0
08.06.2019,0
09.06.2019,0
10.06.2019,1
11.06.2019,1
12.06.2019,0
13.06.2019,2
14.06.2019,1
15.06.2019,3
16.06.2019,0
17.06.2019,1
18.06.2019,1
19.06.2019,2
20.06.2019,1
21.06.2019,0
22.06.2019,0
23.06.2019,0
24.06.2019,0
25.06.2019,0
26.06.2019,0
27.06.2019,1
28.06.2019,0
29.06.2019,0
30.06.2019,0
01.07.2019,0
02.07.2019,2
03.07.2019,0
04.07.2019,0
05.07.2019,0
06.07.2019,0
07.07.2019,1
08.07.2019,0
09.07.2019,0
10.07.2019,2
11.07.2019,0
12.07.2019,1
13.07.2019,3
14.07.2019,2
15.07.2019,3
16.07.2019,2
17.07.2019,1
18.07.2019,0
19.07.2019,3
20.07.2019,2
21.07.2019,0
22.07.2019,4
23.07.2019,1
24.07.2019,0
25.07.2019,2
26.07.2019,1
27.07.2019,0
28.07.2019,0
29.07.2019,0
30.07.2019,0
31.07.2019,2
01.08.2019,0
02.08.2019,0
03.08.2019,0
04.08.2019,1
05.08.2019,1
06.08.2019,4
07.08.2019,0
08.08.2019,4
09.08.2019,1
10.08.2019,1
11.08.2019,0
12.08.2019,0
13.08.2019,1
14.08.2019,2
15.08.2019,2
16.08.2019,3
17.08.2019,1
18.08.2019,0
19.08.2019,0
20.08.2019,0
21.08.2019,0
22.08.2019,1
23.08.2019,2
24.08.2019,7
25.08.2019,2
26.08.2019,11
27.08.2019,4
28.08.2019,4
29.08.2019,3
30.08.2019,0
31.08.2019,0
01.09.2019,0
02.09.2019,0
03.09.2019,0
04.09.2019,0
05.09.2019,0
06.09.2019,0
07.09.2019,1
08.09.2019,3
09.09.2019,7
10.09.2019,3
11.09.2019,8
12.09.2019,1
13.09.2019,1
14.09.2019,0
15.09.2019,0
16.09.2019,1
17.09.2019,0
18.09.2019,0
19.09.2019,0
20.09.2019,0
21.09.2019,0
22.09.2019,2
23.09.2019,2
24.09.2019,3
25.09.2019,4
26.09.2019,0
27.09.2019,0
28.09.2019,1
29.09.2019,0
30.09.2019,0
01.10.2019,1
02.10.2019,0
03.10.2019,0
04.10.2019,1
05.10.2019,0
06.10.2019,0
07.10.2019,0
08.10.2019,0
09.10.2019,0
10.10.2019,0
11.10.2019,0
12.10.2019,0
13.10.2019,0
14.10.2019,0
15.10.2019,0
16.10.2019,0
17.10.2019,0
18.10.2019,1
19.10.2019,3
20.10.2019,0
21.10.2019,1
22.10.2019,4
23.10.2019,2
24.10.2019,2
25.10.2019,1
26.10.2019,6
27.10.2019,2
28.10.2019,12
29.10.2019,5
30.10.2019,7
31.10.2019,5
01.11.2019,4
02.11.2019,9
03.11.2019,2
04.11.2019,3
05.11.2019,5
06.11.2019,7
07.11.2019,5
08.11.2019,1
09.11.2019,2
10.11.2019,1
11.11.2019,2
12.11.2019,2
13.11.2019,3
14.11.2019,4
15.11.2019,5
16.11.2019,8
17.11.2019,6
18.11.2019,14
19.11.2019,8
20.11.2019,11
21.11.2019,7
22.11.2019,9
23.11.2019,6
24.11.2019,8
25.11.2019,8
26.11.2019,9
27.11.2019,9
28.11.2019,5
29.11.2019,12
30.11.2019,12
01.12.2019,4
02.12.2019,7
03.12.2019,8
04.12.2019,6
05.12.2019,3
